Genome	Completeness (%)	Contamination (%)	G+C (%)	Genome size (bp)	97% ANI cluster representative	Named subclade	Clade name	genome_acc	biosample_accession
Acidobacteria_bog_426	79.05	0	62.6805359285553	4288222	73.20120700_S3X.5	NA	NA	PLKH00000000	SAMN08180186
Acidobacteria_bog_427	77.11	0.86	59.8553712951583	4134954	73.20110800_S3D.6	NA	NA	PLKF00000000	SAMN08180188
Acidobacteria_bog_428	93.09	0.85	58.8574880408587	4277882	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLKE00000000	SAMN08180189
Acidobacteria_bog_429	78.16	1.08	62.6013176278477	4751335	73.20120700_S3X.5	NA	NA	PLWN00000000	SAMN08180196
Acidobacteria_bog_430	78.57	1.72	60.1654471438539	4026386	73.20110800_S3D.42	NA	NA	PLWF00000000	SAMN08180204
Acidobacteria_bog_431	70.98	0.11	62.5095766809963	4563682	73.20120700_S3X.5	NA	NA	PLWE00000000	SAMN08180205
Acidobacteria_bog_432	80.54	0.92	59.1929546825513	4033443	73.20120700_S3D.16	NA	NA	PLWC00000000	SAMN08180207
Acidobacteria_bog_433	83.93	0.92	59.3590392328671	3982956	73.20120700_S3D.16	NA	NA	PLVV00000000	SAMN08180214
Acidobacteria_bog_434	74.74	2.59	60.4247055934381	6202278	73.20110800_S3D.19	NA	NA	PLVP00000000	SAMN08180220
Acidobacteria_bog_435	80.86	0	58.1208129973908	4558710	73.20110800_S1M.27	Ca. Acidiflorens stordalenmirensis	Ca. Acidiflorens	PLVN00000000	SAMN08180222
Acidobacteria_bog_436	87.05	1.08	60.9160753811217	3342643	73.20110600_S1D.24	NA	NA	PLVM00000000	SAMN08180223
Acidobacteria_bog_437	79.51	0.88	62.4850231734464	7436385	73.20110600_S3M.35	NA	NA	PLVL00000000	SAMN08180224
Acidobacteria_bog_438	86.3	4.39	62.3978999672013	5250976	73.20120700_S3X.5	NA	NA	PLVK00000000	SAMN08180225
Acidobacteria_bog_439	86.19	5.34	59.8104728814232	4642096	73.20110800_S3D.6	NA	NA	PLWP00000000	SAMN08180226
Acidobacteria_bog_440	90.19	0.9	58.9244257668777	4153523	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLVI00000000	SAMN08180228
Acidobacteria_bog_441	96.44	0	62.4252507733168	5637098	73.20120700_S3X.5	NA	NA	PLVD00000000	SAMN08180233
Acidobacteria_bog_442	75.8	0	62.6868648953729	4418030	73.20120700_S3X.5	NA	NA	PLVA00000000	SAMN08180236
Acidobacteria_bog_443	89.26	0	58.900862211212	3639840	73.20120600_S3M.9	Acidiflorens clade 2	Ca. Acidiflorens	PLUW00000000	SAMN08180240
Acidobacteria_bog_444	90.39	9.96	58.9167150358158	6638998	73.20110700_S3M.25	NA	NA	PLUU00000000	SAMN08180242
Acidobacteria_bog_445	89.47	1.28	61.8516416156683	4837229	73.20120800_S3X.20	NA	NA	PLUT00000000	SAMN08180243
Acidobacteria_bog_446	91.31	2.59	60.4167560278592	2985672	73.20120700_S3D.28	NA	NA	PLUS00000000	SAMN08180244
Acidobacteria_bog_447	99.12	2.63	62.4506334182184	5715130	73.20120700_S3X.5	NA	NA	PLUP00000000	SAMN08180247
Acidobacteria_bog_448	86.2	1.72	59.9168553908848	4317540	73.20110800_S3D.6	NA	NA	PLUO00000000	SAMN08180248
Acidobacteria_bog_93	75.08	3.45	59.7070389244082	3614498	73.20120700_S3D.16	NA	NA	PMPC00000000	SAMN08178802
Acidobacteria_bog_94	84.24	8.91	60.638295932201	6034862	73.20110800_S3D.19	NA	NA	PMPD00000000	SAMN08178803
Acidobacteria_bog_95	84.62	3.85	62.1721062697037	4599469	73.20120800_S3X.20	NA	NA	PMPG00000000	SAMN08178806
Acidobacteria_bog_96	89.73	1.72	62.2975568930269	2724402	73.20110600_S1D.24	NA	NA	PMPH00000000	SAMN08178807
Acidobacteria_bog_97	93.67	1.29	60.3220628356447	3078575	73.20120700_S3D.28	NA	NA	PMPI00000000	SAMN08178808
Acidobacteria_bog_98	79.77	4.31	61.4161193600446	4228821	73.20120700_S1D.65	NA	NA	PMLY00000000	SAMN08178809
Acidobacteria_bog_99	78.61	4.91	62.2678221293264	2729199	73.20120700_S3D.38	NA	NA	PMPK00000000	SAMN08178811
Acidobacteria_fen_175	79.27	2.56	58.240818038617	4141319	73.20120800_E3D.4	NA	NA	PMXI00000000	SAMN08179020
Acidobacteria_fen_176	83.23	3.5	59.5758839190288	3446686	73.20120800_E1D.12	NA	NA	PMXM00000000	SAMN08179024
Acidobacteria_fen_177	85.38	1.72	58.679135335915	5188055	73.20120800_E1D.22	NA	NA	PMXN00000000	SAMN08179025
Acidobacteria_fen_178	73.28	2.05	62.9309160367972	5061459	73.20110800_E2D.16	NA	NA	PMYB00000000	SAMN08179041
Acidobacteria_fen_179	87.36	2.59	61.4637615678862	3286184	73.20110800_E2D.40	NA	NA	PMYE00000000	SAMN08179044
Acidobacteria_fen_180	75.21	2.99	59.0304496641051	7594287	73.20110800_E2D.41	NA	NA	PMYF00000000	SAMN08179045
Acidobacteria_fen_181	94.63	7.12	67.5084868254268	5815022	73.20110800_E3D.77	NA	NA	PMYH00000000	SAMN08179047
Acidobacteria_fen_182	95.26	2.59	61.2583975000394	3493398	73.20120800_E3X.5	NA	NA	PMYL00000000	SAMN08179051
Acidobacteria_fen_183	90.59	4.56	67.6136692927528	3832128	73.20120700_P3D.154	NA	NA	PMYO00000000	SAMN08179054
Acidobacteria_fen_184	98.64	6.74	61.1991657807645	3693469	73.20120800_E3X.5	NA	NA	PMZE00000000	SAMN08179071
Acidobacteria_fen_185	80.13	0.85	58.7419169193515	3412846	73.20120800_E3D.4	NA	NA	PMZL00000000	SAMN08179078
Acidobacteria_fen_186	96.49	6.27	67.5293354732959	5795962	73.20110800_E3D.77	NA	NA	PMZR00000000	SAMN08179084
Acidobacteria_fen_235	87.81	2.63	64.594029245599	5068287	73.20111000_E3D.16	NA	NA	PLEM00000000	SAMN08179260
Acidobacteria_fen_297	92.69	1.71	66.9141342024562	3735526	73.20120600_E1D.18	NA	NA	PMLC00000000	SAMN08179537
Acidobacteria_fen_298	90.07	2.63	63.2613888246177	5816078	73.20120600_E2D.104	NA	NA	PMKM00000000	SAMN08179553
Acidobacteria_fen_299	73.33	3.42	68.783417807701	3307620	73.20120600_E2D.139	NA	NA	PMKG00000000	SAMN08179559
Acidobacteria_fen_300	92.64	1.71	66.8567867935848	3840444	73.20120600_E1D.18	NA	NA	PMKC00000000	SAMN08179563
Acidobacteria_fen_301	79.33	1.19	57.95572072213	5668081	73.20120600_E2D.28	Ca. Acidiflorens sp. 2	Ca. Acidiflorens	PMJX00000000	SAMN08179568
Acidobacteria_fen_302	89.74	0.05	63.8434996690304	3285741	73.20120600_E2D.81	NA	NA	PMJK00000000	SAMN08179581
Acidobacteria_fen_303	95.2	3.42	66.8843563857168	3808614	73.20120600_E1D.18	NA	NA	PMIT00000000	SAMN08179599
Acidobacteria_fen_304	81.91	4.49	58.0058707618004	5661641	73.20120600_E2D.28	Ca. Acidiflorens sp. 2	Ca. Acidiflorens	PMIO00000000	SAMN08179604
Acidobacteria_fen_305	84.08	0	63.8137490417198	3206208	73.20120600_E2D.81	NA	NA	PMLX00000000	SAMN08179614
Acidobacteria_fen_330	74.51	2.63	64.7706546134141	4547715	73.20120700_E1D.21	NA	NA	PMEV00000000	SAMN08179703
Acidobacteria_fen_331	95.09	3.42	58.4717442244905	4631202	73.20120800_E3D.4	NA	NA	PMES00000000	SAMN08179706
Acidobacteria_fen_332	88.6	1.71	66.8897337559664	3789588	73.20120600_E1D.18	NA	NA	PMDP00000000	SAMN08179737
Acidobacteria_fen_333	74.5	1.78	61.4889777127944	3482832	73.20120700_E2X.90	NA	NA	PMCY00000000	SAMN08179754
Acidobacteria_fen_334	76	2.56	67.1294747303128	3219389	73.20120600_E1D.18	NA	NA	PMCL00000000	SAMN08179768
Acidobacteria_fen_335	71.34	3.47	59.7177628395879	3943854	73.20120700_E3M.19	NA	NA	PMCH00000000	SAMN08179772
Acidobacteria_fen_336	70.22	2.99	66.930964301963	2703147	73.20120700_E3M.204	NA	NA	PMCG00000000	SAMN08179773
Acidobacteria_fen_337	75.42	3.42	61.2548663483782	3737067	73.20120700_E2X.90	NA	NA	PMBE00000000	SAMN08179801
Acidobacteria_fen_338	82.41	1.57	59.0542413528317	4720128	73.20120700_E3M.96	Acidiflorens clade 3	Ca. Acidiflorens	PMBA00000000	SAMN08179805
Acidobacteria_fen_339	84.63	5.17	61.2536393634259	3376921	73.20120800_E3X.5	NA	NA	PMAU00000000	SAMN08179811
Acidobacteria_fen_408	91.69	2.68	59.5599250306351	3421685	73.20120800_E1D.12	NA	NA	PLOI00000000	SAMN08180080
Acidobacteria_fen_409	93.4	2.63	58.745272007492	5195183	73.20120800_E1D.22	NA	NA	PLOG00000000	SAMN08180082
Acidobacteria_fen_410	76.85	0.88	62.1699199382268	5093910	73.20120700_S3X.5	NA	NA	PLOD00000000	SAMN08180085
Acidobacteria_fen_411	94.66	2.56	58.4322548139906	4666617	73.20120800_E3D.4	NA	NA	PLNX00000000	SAMN08180092
Acidobacteria_fen_412	90.76	2.19	58.4313832302416	4481147	73.20120800_E3D.4	NA	NA	PLNB00000000	SAMN08180114
Acidobacteria_fen_413	93.85	3.42	62.8284836316802	3792977	73.20120800_E2X.58	NA	NA	PLMN00000000	SAMN08180128
Acidobacteria_fen_414	94.66	1.71	58.4562438225535	4621151	73.20120800_E3D.4	NA	NA	PLMH00000000	SAMN08180134
Acidobacteria_fen_415	85.59	3.95	62.9943870640686	6556001	73.20120800_E3S.15	NA	NA	PLMF00000000	SAMN08180136
Acidobacteria_fen_416	96.98	2.59	61.2765581153052	3528381	73.20120800_E3X.5	NA	NA	PLLG00000000	SAMN08180161
Acidobacteria_fen_85	81.74	3.1	58.0098217166128	6056979	73.20120600_E2D.28	Ca. Acidiflorens sp. 2	Ca. Acidiflorens	PMMJ00000000	SAMN08178728
Acidobacteria_palsa_120	97.01	1.71	55.8654854155403	5160709	73.20111000_P3M.19	NA	NA	PMSM00000000	SAMN08178891
Acidobacteria_palsa_121	75.86	4.31	58.1119949259714	4437340	73.20120800_P1D.7	NA	NA	PMSO00000000	SAMN08178893
Acidobacteria_palsa_122	93.64	1.71	57.6862388036263	5300178	73.20110700_P1M.4	NA	NA	PMSQ00000000	SAMN08178895
Acidobacteria_palsa_123	85.42	2.62	60.7417338490275	5028386	73.20110700_P1M.6	NA	NA	PMSS00000000	SAMN08178897
Acidobacteria_palsa_124	94.3	3.04	55.9775771995793	9386293	73.20110700_P1S.21	NA	NA	PMSX00000000	SAMN08178902
Acidobacteria_palsa_125	80.14	4.7	57.7072033647026	3730614	73.20110700_P1S.5	Acidiflorens clade 1	Ca. Acidiflorens	PMSZ00000000	SAMN08178904
Acidobacteria_palsa_126	87.34	4.61	62.9246867474869	7126901	73.20111000_P2D.25	NA	NA	PMTK00000000	SAMN08178916
Acidobacteria_palsa_127	98.93	1.71	58.8045640081614	4662616	73.20110700_P2D.4	NA	NA	PMLZ00000000	SAMN08178914
Acidobacteria_palsa_128	81.39	0.86	60.6274382367254	2478023	73.20110700_P2D.59	NA	NA	PMTP00000000	SAMN08178921
Acidobacteria_palsa_129	98.2	1.75	62.238542010621	7351839	73.20110700_P2D.63	NA	NA	PMTR00000000	SAMN08178923
Acidobacteria_palsa_130	86.35	3.07	61.6917508958757	11508716	73.20110700_P2D.82	NA	NA	PMTT00000000	SAMN08178925
Acidobacteria_palsa_131	91.57	5.65	58.7203736302949	4322897	73.20120700_P1D.1	NA	NA	PMTU00000000	SAMN08178926
Acidobacteria_palsa_132	92.51	4.78	58.3499001975484	7976792	73.20110700_P3D.9	NA	NA	PMTW00000000	SAMN08178928
Acidobacteria_palsa_133	87.8	6.96	59.6619453380874	6407025	73.20110700_P3M.16	NA	NA	PMTX00000000	SAMN08178929
Acidobacteria_palsa_134	93.59	2.85	56.4277296173384	3779963	73.20120500_P14.1	NA	NA	PMTV00000000	SAMN08178927
Acidobacteria_palsa_135	97.98	5.98	56.6294656390911	6021114	73.20110700_P3D.3	Acidiflorens clade 11	Ca. Acidiflorens	PMUA00000000	SAMN08178932
Acidobacteria_palsa_136	92.7	2.99	57.6773451664809	5148011	73.20110700_P1M.4	NA	NA	PMUB00000000	SAMN08178933
Acidobacteria_palsa_137	83.45	0.85	57.2515185733123	5187149	73.20110700_P2M.8	NA	NA	PMUD00000000	SAMN08178935
Acidobacteria_palsa_138	71.34	3.42	56.2126362736893	3943197	73.20120500_P31.5	NA	NA	PMUH00000000	SAMN08178939
Acidobacteria_palsa_139	97.2	2.59	61.7211807121241	5409550	73.20110700_P3D.15	NA	NA	PMUI00000000	SAMN08178940
Acidobacteria_palsa_140	76.15	3.5	57.9314108263281	5194164	73.20120800_P1D.7	NA	NA	PMUJ00000000	SAMN08178941
Acidobacteria_palsa_141	94.58	0.85	56.7159491393116	5576224	73.20110700_P3D.3	Acidiflorens clade 11	Ca. Acidiflorens	PMUL00000000	SAMN08178943
Acidobacteria_palsa_142	95.19	4.15	58.3254462885038	6936785	73.20120800_P2D.6	NA	NA	PMUM00000000	SAMN08178944
Acidobacteria_palsa_143	91.74	4.35	58.2827511656895	8015520	73.20110700_P3D.9	NA	NA	PMUN00000000	SAMN08178945
Acidobacteria_palsa_144	98.21	2.61	59.6272956872958	6674750	73.20110700_P3M.16	NA	NA	PMUP00000000	SAMN08178947
Acidobacteria_palsa_145	91.14	1.71	57.6855169479442	5249444	73.20110700_P1M.4	NA	NA	PMUR00000000	SAMN08178949
Acidobacteria_palsa_146	93.45	5.7	59.9500035558805	3924320	73.20120500_P12.3	NA	NA	PMUS00000000	SAMN08178950
Acidobacteria_palsa_147	85.92	2.56	57.4353309113915	4139356	73.20110700_P3M.8	NA	NA	PMUT00000000	SAMN08178951
Acidobacteria_palsa_148	97.34	1.82	56.8673989572399	5519839	73.20111000_P2S.3	NA	NA	PMUV00000000	SAMN08178953
Acidobacteria_palsa_187	73.48	1.74	58.527492109165	6206968	73.20110800_P1D.42	NA	NA	PNAJ00000000	SAMN08179102
Acidobacteria_palsa_188	75.97	1.2	53.8335103985835	4366525	73.20110800_P1D.77	NA	NA	PNAR00000000	SAMN08179110
Acidobacteria_palsa_189	76.04	3.45	58.9832533547044	4101052	73.20110800_P1M.47	NA	NA	PLJR00000000	SAMN08179122
Acidobacteria_palsa_190	81.65	1.92	59.2353291209181	3481599	73.20120500_P33.13	NA	NA	PLJO00000000	SAMN08179125
Acidobacteria_palsa_191	93.32	0.71	56.5934728588806	4904602	73.20110800_P1M.59	NA	NA	PLJN00000000	SAMN08179126
Acidobacteria_palsa_192	73.14	4.75	57.4286827799753	4626581	73.20120600_P2M.6	Acidiflorens clade 9	Ca. Acidiflorens	PLJI00000000	SAMN08179131
Acidobacteria_palsa_193	91.12	2.56	56.5600070656568	3646543	73.20120500_P14.1	NA	NA	PLJG00000000	SAMN08179133
Acidobacteria_palsa_194	76.06	2.62	56.5934315946378	5100493	73.20110700_P3D.3	Acidiflorens clade 11	Ca. Acidiflorens	PLIZ00000000	SAMN08179140
Acidobacteria_palsa_195	79.43	1.78	62.1927447666606	4141534	73.20120700_P2M.12	NA	NA	PLIY00000000	SAMN08179141
Acidobacteria_palsa_196	87.76	8.55	56.3675387939495	7047031	73.20110800_P3S.22	NA	NA	PLIS00000000	SAMN08179147
Acidobacteria_palsa_197	75.9	2.56	56.8629139008279	4825677	73.20111000_P2S.3	NA	NA	PLIT00000000	SAMN08179146
Acidobacteria_palsa_198	76.23	4.13	57.6744308464304	3956048	73.20110700_P1S.5	Acidiflorens clade 1	Ca. Acidiflorens	PLIP00000000	SAMN08179150
Acidobacteria_palsa_199	91.41	6.41	57.9451492020297	5768439	73.20110800_P3S.9	NA	NA	PLIO00000000	SAMN08179151
Acidobacteria_palsa_236	87.28	0.86	59.6179074781259	5547843	73.20111000_P1D.8	NA	NA	PLEE00000000	SAMN08179268
Acidobacteria_palsa_237	86.71	6.7	57.8347257720112	5067794	73.20111000_P1M.23	NA	NA	PLEA00000000	SAMN08179273
Acidobacteria_palsa_238	96.51	1.71	56.8290703416368	5607601	73.20111000_P2S.3	NA	NA	PLDV00000000	SAMN08179278
Acidobacteria_palsa_239	72.77	4.05	58.0637955651591	5760949	73.20120500_P26.11	NA	NA	PLDQ00000000	SAMN08179283
Acidobacteria_palsa_240	88.35	3.61	58.7970903916247	4472401	73.20111000_P2D.1	Ca. Acidiflorens sp. 3	Ca. Acidiflorens	PLDR00000000	SAMN08179282
Acidobacteria_palsa_241	88.91	1.1	62.8503424176177	7095248	73.20111000_P2D.25	NA	NA	PLDO00000000	SAMN08179285
Acidobacteria_palsa_242	91.38	4.27	58.1510048428924	4844851	73.20111000_P2D.43	NA	NA	PLDM00000000	SAMN08179288
Acidobacteria_palsa_243	97.22	8.92	60.9412608704829	10710138	73.20111000_P2M.18	NA	NA	PLDF00000000	SAMN08179295
Acidobacteria_palsa_244	92.31	2.56	56.4679941085179	4072028	73.20120500_P14.1	NA	NA	PLDH00000000	SAMN08179293
Acidobacteria_palsa_245	89.28	4.35	58.3202565099605	8097738	73.20110700_P3D.9	NA	NA	PLDD00000000	SAMN08179297
Acidobacteria_palsa_246	100	1.71	56.8282886766257	5620309	73.20111000_P2S.3	NA	NA	PLDC00000000	SAMN08179298
Acidobacteria_palsa_247	99.72	1.14	58.0533225846332	8018070	73.20111000_P3D.19	NA	NA	PLCU00000000	SAMN08179306
Acidobacteria_palsa_248	96.77	3.45	59.9431498774804	3940365	73.20111000_P3D.24	NA	NA	PLCS00000000	SAMN08179308
Acidobacteria_palsa_249	93.89	0	59.132029298904	4179761	73.20111000_P3D.47	NA	NA	PLCO00000000	SAMN08179312
Acidobacteria_palsa_250	71.03	2.59	57.4559776604092	6035393	73.20120700_P3D.197	NA	NA	PNBF00000000	SAMN08179314
Acidobacteria_palsa_251	97.01	1.71	55.8703308363878	5155147	73.20111000_P3M.19	NA	NA	PLCD00000000	SAMN08179324
Acidobacteria_palsa_252	97.66	0.93	58.0501223664358	8045290	73.20111000_P3D.19	NA	NA	PLBY00000000	SAMN08179329
Acidobacteria_palsa_253	78.67	0.85	55.032752073638	4758665	73.20111000_P3M.32	Acidiflorens clade 10	Ca. Acidiflorens	PLBX00000000	SAMN08179330
Acidobacteria_palsa_254	81.24	0.85	58.650959850069	3894972	73.20111000_P3M.39	NA	NA	PLBW00000000	SAMN08179331
Acidobacteria_palsa_255	85.49	6.87	58.5280738949393	6982827	73.20110800_P1D.42	NA	NA	PLBQ00000000	SAMN08179338
Acidobacteria_palsa_264	87.28	3.7	59.8559395589879	3906114	73.20120500_P12.3	NA	NA	PKZH00000000	SAMN08179400
Acidobacteria_palsa_265	72.97	1.84	57.683243012008	6508434	73.20120500_P13.26	NA	NA	PKZC00000000	SAMN08179406
Acidobacteria_palsa_266	96.27	2.56	58.6949855654063	4530645	73.20120700_P1D.1	NA	NA	PKZF00000000	SAMN08179403
Acidobacteria_palsa_267	89.32	1.71	56.5458171286672	3495868	73.20120500_P14.1	NA	NA	PKZA00000000	SAMN08179408
Acidobacteria_palsa_268	86.15	6.41	61.6124658678356	9717417	73.20120500_P14.26	NA	NA	PKYZ00000000	SAMN08179409
Acidobacteria_palsa_269	87.33	1.71	56.8976041523103	4958720	73.20110700_P3D.3	Acidiflorens clade 11	Ca. Acidiflorens	PKYY00000000	SAMN08179410
Acidobacteria_palsa_270	80.94	5.18	59.8793468898447	4618113	73.20120500_P15.6	NA	NA	PKYX00000000	SAMN08179411
Acidobacteria_palsa_271	96.37	0.85	58.7067725990853	4463622	73.20120700_P1D.1	NA	NA	PKYT00000000	SAMN08179415
Acidobacteria_palsa_272	90.29	1.71	69.4467250718093	3690370	73.20120500_P19.29	NA	NA	PKYI00000000	SAMN08179426
Acidobacteria_palsa_273	94.25	2.19	58.5969147074917	4888831	73.20120600_P2M.24	NA	NA	PKYF00000000	SAMN08179429
Acidobacteria_palsa_274	75.63	4.73	60.1630334182038	3268539	73.20120500_P12.3	NA	NA	PKYD00000000	SAMN08179431
Acidobacteria_palsa_275	82.9	4.27	59.6668940910721	4171751	73.20120500_P12.3	NA	NA	PKXX00000000	SAMN08179437
Acidobacteria_palsa_276	81.51	3.42	57.5516412772305	4252346	73.20110700_P3M.8	NA	NA	PKXW00000000	SAMN08179438
Acidobacteria_palsa_277	83.31	0.85	56.2278860007658	5123786	73.20120500_P24.13	NA	NA	PKXU00000000	SAMN08179440
Acidobacteria_palsa_278	84.84	3.63	56.7767409385496	3222601	73.20120500_P24.19	NA	NA	PKXT00000000	SAMN08179441
Acidobacteria_palsa_279	92.95	4.27	56.491040228776	3695824	73.20120500_P14.1	NA	NA	PKXV00000000	SAMN08179439
Acidobacteria_palsa_280	89.91	1.71	56.602436851961	5724666	73.20110700_P3D.3	Acidiflorens clade 11	Ca. Acidiflorens	PKXQ00000000	SAMN08179444
Acidobacteria_palsa_281	79.38	5.65	58.3596042047973	7510429	73.20110700_P3D.9	NA	NA	PKXP00000000	SAMN08179445
Acidobacteria_palsa_282	89.53	3.42	56.6907120810467	5697891	73.20110700_P3D.3	Acidiflorens clade 11	Ca. Acidiflorens	PKXO00000000	SAMN08179446
Acidobacteria_palsa_283	96.37	0.85	58.6872431600278	4427505	73.20120700_P1D.1	NA	NA	PKXN00000000	SAMN08179447
Acidobacteria_palsa_284	73.52	1.82	57.7127231209166	6726311	73.20120500_P26.11	NA	NA	PKXM00000000	SAMN08179448
Acidobacteria_palsa_285	91.33	4.31	58.1269957079752	6466358	73.20120500_P26.11	NA	NA	PKXI00000000	SAMN08179452
Acidobacteria_palsa_286	91.07	3.16	58.5750272279875	5317643	73.20120500_P26.1	Ca. Acidiflorens sp. 3	Ca. Acidiflorens	PKXK00000000	SAMN08179450
Acidobacteria_palsa_287	91.24	3.42	61.7895749510689	3165847	73.20120700_S3D.38	NA	NA	PKWU00000000	SAMN08179466
Acidobacteria_palsa_288	86.49	4.74	60.1033639568591	6149698	73.20120500_P28.9	NA	NA	PKWK00000000	SAMN08179476
Acidobacteria_palsa_289	72.69	3.42	56.3035790623	3948416	73.20120500_P31.5	NA	NA	PKWH00000000	SAMN08179479
Acidobacteria_palsa_290	90.05	3.42	57.297264812471	5285449	73.20110700_P2M.8	NA	NA	PKVZ00000000	SAMN08179487
Acidobacteria_palsa_291	89.76	3.47	61.8467417204001	5394508	73.20120500_P32.9	NA	NA	PKVY00000000	SAMN08179488
Acidobacteria_palsa_292	90.81	1.71	59.2368327721062	3934625	73.20120500_P33.13	NA	NA	PKVW00000000	SAMN08179490
Acidobacteria_palsa_293	81.55	0.85	58.6222816341169	4608064	73.20120500_P26.1	Ca. Acidiflorens sp. 3	Ca. Acidiflorens	PKVT00000000	SAMN08179493
Acidobacteria_palsa_294	93.38	1.71	58.2147591123407	5904282	73.20120500_P39.11	Acidiflorens clade 8	Ca. Acidiflorens	PKUZ00000000	SAMN08179513
Acidobacteria_palsa_295	77.41	4.04	57.6534820153171	3940173	73.20120500_P38.14	NA	NA	PKUY00000000	SAMN08179514
Acidobacteria_palsa_296	99.15	2.56	58.253447559372	6004649	73.20120500_P39.11	Acidiflorens clade 8	Ca. Acidiflorens	PKUV00000000	SAMN08179518
Acidobacteria_palsa_306	70.35	2.18	56.6812364132864	3035955	73.20120700_P2S.1	NA	NA	PMIA00000000	SAMN08179619
Acidobacteria_palsa_307	72.59	3.56	58.6847545646582	4003027	73.20120600_P3M.2	NA	NA	PMHZ00000000	SAMN08179620
Acidobacteria_palsa_308	91.5	4.77	57.7131499195566	5191133	73.20110700_P1M.4	NA	NA	PMHY00000000	SAMN08179621
Acidobacteria_palsa_309	95.77	2.56	58.5318077060976	5032658	73.20120600_P2M.24	NA	NA	PMHV00000000	SAMN08179624
Acidobacteria_palsa_310	80.62	6.58	57.6937438210016	5287019	73.20120600_P2M.6	Acidiflorens clade 9	Ca. Acidiflorens	PMHT00000000	SAMN08179626
Acidobacteria_palsa_311	72.79	1.28	56.6447871262752	3023281	73.20120700_P2S.1	NA	NA	PMHS00000000	SAMN08179627
Acidobacteria_palsa_312	85.49	2.67	58.8020403213197	4181007	73.20120600_P3M.2	NA	NA	PMHK00000000	SAMN08179635
Acidobacteria_palsa_313	88.46	4.44	57.6989556202726	7207389	73.20120600_P3M.5	NA	NA	PMHI00000000	SAMN08179637
Acidobacteria_palsa_314	85.27	2.14	56.8376217780613	5268685	73.20111000_P2S.3	NA	NA	PNBQ00000000	SAMN08179638
Acidobacteria_palsa_340	98.79	0.85	58.6710298288578	4504025	73.20120700_P1D.1	NA	NA	PMAT00000000	SAMN08179812
Acidobacteria_palsa_341	73.45	6.96	58.3674231701151	6647634	73.20110700_P3D.9	NA	NA	PMAQ00000000	SAMN08179815
Acidobacteria_palsa_342	85.25	1.99	57.6542346378034	5073848	73.20110700_P1M.4	NA	NA	PMAP00000000	SAMN08179816
Acidobacteria_palsa_343	85.59	1.72	61.7694177402313	5285138	73.20120700_P2D.11	NA	NA	PMAM00000000	SAMN08179819
Acidobacteria_palsa_344	97.22	2.14	56.6261121020088	6115516	73.20110700_P3D.3	Acidiflorens clade 11	Ca. Acidiflorens	PMAI00000000	SAMN08179823
Acidobacteria_palsa_345	84.78	0.85	62.198841164023	4250281	73.20120700_P2M.12	NA	NA	PMAD00000000	SAMN08179828
Acidobacteria_palsa_346	83.63	4.5	60.7324864875443	5064768	73.20110700_P1M.6	NA	NA	PMAC00000000	SAMN08179829
Acidobacteria_palsa_347	88	3.47	57.4961791641094	4575937	73.20110700_P3M.8	NA	NA	PMAA00000000	SAMN08179831
Acidobacteria_palsa_348	78.91	1.71	56.5679985833342	3280613	73.20120700_P2S.1	NA	NA	PLZZ00000000	SAMN08179832
Acidobacteria_palsa_349	86.12	5.1	62.1876010414717	5881655	73.20120700_P3D.103	NA	NA	PLZX00000000	SAMN08179834
Acidobacteria_palsa_350	82.95	1.77	58.4578100150909	6799527	73.20120700_P3D.136	NA	NA	PLZN00000000	SAMN08179845
Acidobacteria_palsa_351	93.7	2.56	67.6711162047163	3637326	73.20120700_P3D.154	NA	NA	PLZI00000000	SAMN08179850
Acidobacteria_palsa_352	80.11	2.59	57.8999446086193	6028593	73.20120700_P3D.197	NA	NA	PLZC00000000	SAMN08179856
Acidobacteria_palsa_353	94.91	5.13	58.492675991426	5754238	73.20120500_P26.1	Ca. Acidiflorens sp. 3	Ca. Acidiflorens	PLZY00000000	SAMN08179833
Acidobacteria_palsa_354	80.39	5.13	59.2311158744046	3724574	73.20120700_P3D.22	NA	NA	PLYW00000000	SAMN08179862
Acidobacteria_palsa_355	82.78	0.43	59.1049954907193	5960205	73.20111000_P1D.8	NA	NA	PLXP00000000	SAMN08179895
Acidobacteria_palsa_356	71.71	3.85	58.1073440802786	6652349	73.20111000_P3D.19	NA	NA	PLXH00000000	SAMN08179903
Acidobacteria_palsa_357	94.66	0.85	58.8155007283352	4652150	73.20110700_P2D.4	NA	NA	PLXE00000000	SAMN08179906
Acidobacteria_palsa_358	80.32	3.63	58.0789740386429	6958030	73.20120800_P2D.6	NA	NA	PLWY00000000	SAMN08179912
Acidobacteria_palsa_359	91.15	3.42	57.0580816354995	5709437	73.20120700_P3D.64	NA	NA	PLWX00000000	SAMN08179913
Acidobacteria_palsa_360	89.5	3.42	58.0033043514804	4617235	73.20120700_P3D.97	NA	NA	PLUM00000000	SAMN08179919
Acidobacteria_palsa_361	79.96	2.56	55.5153495972919	4101074	73.20120700_P3M.9	NA	NA	PLUJ00000000	SAMN08179922
Acidobacteria_palsa_362	85.4	2.56	57.2618306574589	5230759	73.20120700_P3S.10	NA	NA	PLUI00000000	SAMN08179923
